Title - skipped when loaded
Time  linear  quadratic  gaussian  ln  ex  
%.3f %.3f %.3f %.3f %.3f %.3f
 
 
 
1.000 -0.829 -18.741 -7.569 11.918 6.807
1.099 -11.254 -6.610 5.138 17.164 -3.633
1.198 -10.666 -14.052 -5.685 29.775 7.114
1.297 -7.400 -10.825 22.192 30.515 8.741
1.396 -7.598 -13.553 -5.897 63.932 -0.762
1.495 8.968 -3.072 -5.782 51.692 -2.144
1.595 3.095 -24.638 0.057 53.351 2.901
1.694 -8.529 -17.506 -4.047 59.498 21.654
1.793 10.451 -12.398 1.017 66.407 6.122
1.892 7.508 -5.753 10.974 62.686 15.196
1.991 2.934 -18.172 -4.112 73.536 -24.510
2.090 -5.706 -34.544 -3.563 73.505 -1.630
2.189 7.755 -14.688 -0.833 99.519 -7.539
2.288 -16.059 -22.988 -3.300 95.671 18.654
2.387 9.637 -36.441 8.246 85.586 6.156
2.486 -7.583 -29.207 10.865 105.957 -6.932
2.586 -5.381 -4.176 -11.530 97.068 8.706
2.685 13.532 -15.442 10.580 106.578 24.001
2.784 -11.312 -25.490 5.963 102.469 13.061
2.883 -8.093 -34.361 1.298 124.481 -2.679
2.982 -2.950 -35.205 13.339 121.966 4.485
3.081 1.291 -1.983 23.578 110.464 1.038
3.180 -2.547 -16.447 1.384 116.754 -0.656
3.279 10.649 -21.557 -16.177 111.499 4.567
3.378 3.720 -38.403 2.361 125.081 -10.166
3.477 5.850 -27.655 3.168 120.055 17.257
3.577 19.849 -33.114 -7.936 119.789 3.894
3.676 -4.969 -16.235 -6.627 146.541 7.330
3.775 2.410 -27.627 1.824 139.608 24.426
3.874 0.448 -35.869 -12.572 137.298 -3.324
3.973 -7.133 -21.328 -9.687 140.790 8.115
4.072 3.542 -9.622 -1.959 154.725 -2.865
4.171 9.684 -38.967 -8.622 141.908 -0.870
4.270 16.174 -14.803 -4.631 148.376 18.383
4.369 26.618 -26.673 -10.734 171.637 15.853
4.468 -3.836 -23.835 -18.510 159.750 -0.266
4.568 21.131 -27.287 10.192 142.112 -5.907
4.667 -6.144 -50.418 -5.894 175.950 7.326
4.766 -3.734 -26.021 -11.605 174.058 5.364
4.865 3.098 -40.843 4.499 167.598 5.309
4.964 26.504 -41.177 4.973 158.186 -8.973
5.063 7.146 -42.966 -15.315 162.859 5.099
5.162 34.033 -54.183 4.239 188.827 6.843
5.261 15.796 -46.011 5.854 157.898 4.209
5.360 2.452 -34.236 -8.109 169.235 -20.868
5.459 18.070 -31.996 3.058 183.218 -0.413
5.559 14.843 -26.976 8.016 166.002 7.735
5.658 18.482 -30.126 15.293 164.485 14.568
